,name,url,info,industry,turn,city
90,视问智能,company/3890920,机器视觉技术研发商,industry.AI,phase.NONE,city.上海市
91,海深科技,company/142597,图像识别技术研发商,industry.AI,phase.ANGEL,city.上海市
92,艾思达智能科技,company/67146888,医疗及金融领域智能识别技术研发商,industry.SERVICE_INDUSTRIES,phase.A,city.上海市
93,水象科技,company/104984,智能化金融数据分析服务商,industry.FINANCE,phase.NONE,city.上海市
94,祎睿图像,company/127709,机器视觉解决方案提供商,industry.AI,phase.NONE,city.上海市
95,云隐科技,company/49733,人工智能芯片研发商,industry.AI,phase.NONE,city.上海市
96,猎居科技,company/58376661,智能房地产营销服务提供商,industry.AI,phase.ANGEL,city.上海市
97,不问租房,company/99600292,AI租房服务平台,industry.PROPERTY_AND_HOME_FURNISHINGS,phase.SEED,city.上海市
98,RealDrive,company/92628090,无人驾驶技术研发商,industry.AI,phase.NONE,city.上海市
99,沸谷科技,company/33789442,3D智能视觉监测设备研发商,industry.AI,phase.NONE,city.上海市
100,登临科技,company/51426391,计算机系统解决方案提供商,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
101,芙美护肤,company/52882344,人工智能测肤社区平台,industry.CONSUMER_LIFESTYLE,phase.NONE,city.上海市
102,鸢安智能,company/73317857,智能视频分析硬件研发商,industry.AI,phase.PRE_A,city.上海市
103,魔笙科技,company/94896181,AI行业应用服务商,industry.AI,phase.NONE,city.上海市
104,深视信息科技,company/55684736,计算机视觉感知技术研发商,industry.AI,phase.ANGEL,city.上海市
105,Get知识引擎,company/30398407,专注知识领域的人工智能技术,industry.AI,phase.NONE,city.上海市
106,AI TEA,company/899910,智能茶饮方案提供服务商,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
107,Neuron,company/37325279,无人驾驶汽车研发商,industry.AI,phase.ANGEL,city.上海市
108,BotHub.AI,company/89157987,聊天机器人研发商,industry.AI,phase.NONE,city.上海市
109,无门科技,company/88292882,人工智能行业应用解决方案提供商,industry.AI,phase.NONE,city.上海市
110,傲硕科技,company/61009218,车载智能语音交互系统研发商,industry.AUTO,phase.A,city.上海市
111,SlideIdea,company/1729,基于Windows 8移动平板电脑的演示软件,industry.SOFTWARE,phase.A,city.上海市
112,鉴真防务,company/29540225,军民两用低空空域安防产品研发商,industry.SERVICE_INDUSTRIES,phase.ANGEL,city.上海市
113,上海权数,company/87820265,金融科技技术服务提供商,industry.SERVICE_INDUSTRIES,phase.A,city.上海市
114,深聪智能,company/3462533,语音AI芯片研发商,industry.AI,phase.ANGEL,city.上海市
115,海乂知,company/31177,行业知识图谱全生命周期管理平台,industry.AI,phase.ANGEL,city.上海市
116,猎上网,company/7525,中高端人才招聘平台,industry.SERVICE_INDUSTRIES,phase.C,city.上海市
117,法律助手,company/21232740,基于AI的法律服务平台,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
118,岐素科技,company/22465268,中医药健康服务平台,industry.MEDICAL_HEALTH,phase.SEED,city.上海市
119,眼控科技,company/110464,计算机视觉识别技术研发商,industry.AI,phase.NONE,city.上海市
120,邦鼓思,company/110594,机器人定位与导航系统研发商,industry.ROBOT,phase.NONE,city.上海市
121,鹰谷Integle,company/30968,基于人工智能的药物研发大数据平台,industry.SERVICE_INDUSTRIES,phase.B,city.上海市
122,思既美,company/79047772,智能投资系统提供商,industry.FINANCE,phase.NONE,city.上海市
123,CitoryTech,company/13964514,城市影像与数据研究开发商,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
124,挖鱼科技,company/99151,基于大数据分析的电视广告投放系统,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
125,怀若智能,company/28151398,金融机构AI解决方案提供商,industry.AI,phase.ANGEL,city.上海市
126,盈觉智能科技,company/11558,智能视频分析以及工业视觉解决方案提供商,industry.AI,phase.NONE,city.上海市
127,事成信息,company/28150,汽车售后工程解决方案提供商,industry.SERVICE_INDUSTRIES,phase.NEEQ,city.上海市
128,赛往云,company/6705287,工业互联网云计算平台,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
129,尖刀视,company/129276,机器视觉及人工智能整体解决方案提供商,industry.ROBOT,phase.NONE,city.上海市
130,搜股科技,company/94842,投资策略与情报服务提供商,industry.FINANCE,phase.C,city.上海市
131,优复数学,company/71769377,基于人工智能的高中数学学习工具,industry.EDUCATION_TRAINING,phase.NONE,city.上海市
